parameter,base_value,new_value,V0,num_bankruptcies,V0_base,percentage_change_from_base
r_f,0.0075527253608402845,0.008307997896924314,4079.285647744615,274789,4596.0372582154105,-11.243416478991827
mu_0,0.023439084126767068,0.025782992539443775,4627.459098834812,282398,4596.0372582154105,0.6836724520288612
mu_mean,0.0075,0.00825,4716.568900260303,282387,4596.0372582154105,2.6225122920716633
sigma_0,0.1451906623264087,0.15970972855904958,4262.5247365488485,274962,4596.0372582154105,-7.2565234555139595
sigma_mean,0.05,0.05500000000000001,4355.210302817783,277343,4596.0372582154105,-5.239882574214342
eta_0,0.03,0.033,4252.12688149096,287660,4596.0372582154105,-7.482758676721152
phi_0,0.06906491431177234,0.07597140574294957,3173.6999369454225,296015,4596.0372582154105,-30.947036356756293
phi_mean,0.03453245715588617,0.037985702871474784,4442.107417204697,287417,4596.0372582154105,-3.349186100168437
lambda_R,-0.0025658346912662937,-0.0028224181603929235,4599.196653827068,280518,4596.0372582154105,0.06874173193461793
lambda_mu,-0.0017130822328052732,-0.0018843904560858007,4596.961672582936,280497,4596.0372582154105,0.020113291420202913
lambda_gamma,0.0003337782005807283,0.00036715602063880115,4600.608791685794,280398,4596.0372582154105,0.09946684966950704
kappa_mu,0.09,0.099,4813.681562168666,281999,4596.0372582154105,4.7354773629003155
kappa_eta,0.0299573227355399,0.032953055009093894,4758.356230089292,281914,4596.0372582154105,3.531715753255402
kappa_sigma,0.0299573227355399,0.032953055009093894,4654.845536702382,282082,4596.0372582154105,1.279543119060914
kappa_gamma,0.0299573227355399,0.032953055009093894,5545.59085608468,266619,4596.0372582154105,20.66026762885666
kappa_phi,0.0299573227355399,0.032953055009093894,4600.05652631954,275745,4596.0372582154105,0.08745072936354992
kappa_capex,0.0299573227355399,0.032953055009093894,4603.509254046723,280240,4596.0372582154105,0.16257474453577186
financing_cost,0.05,0.05500000000000001,4627.541713639934,280916,4596.0372582154105,0.6854699745570837
financing_grid,[ 0.  5. 10. 20. 40.],[ 0.   5.5 11.  22.  44. ],4598.973509967183,279131,4596.0372582154105,0.06388659592618395
M,1,1.1,4618.916248087084,280563,4596.0372582154105,0.4977981810477498
