parameter,base_value,new_value,V0,num_bankruptcies,V0_base,percentage_change_from_base
r_f,0.0075527253608402845,0.008307997896924314,3484.5801091951607,988928,3894.956202648834,-10.536090063723684
mu_0,0.023439084126767068,0.025782992539443775,4002.861317354491,990838,3894.956202648834,2.770380694711645
mu_mean,0.0075,0.00825,4109.847886757054,991776,3894.956202648834,5.517178446373264
sigma_0,0.1451906623264087,0.15970972855904958,3280.5943060398913,997475,3894.956202648834,-15.773268418041129
sigma_mean,0.05,0.05500000000000001,3614.0311555085855,994035,3894.956202648834,-7.212534173021004
eta_0,0.03,0.033,5025.611704023456,997428,3894.956202648834,29.02870899050674
phi_0,0.06906491431177234,0.07597140574294957,3934.4875795229946,990212,3894.956202648834,1.014937648009411
phi_mean,0.03453245715588617,0.037985702871474784,4053.8945033968257,986910,3894.956202648834,4.080618432625842
lambda_R,-0.0025658346912662937,-0.0028224181603929235,3902.7664090472417,990988,3894.956202648834,0.2005210326395052
lambda_mu,-0.0017130822328052732,-0.0018843904560858007,3901.801019804615,990994,3894.956202648834,0.17573540752849004
lambda_gamma,0.0003337782005807283,0.00036715602063880115,3896.2675293860493,990928,3894.956202648834,0.03366730378954465
kappa_mu,0.09,0.099,2724.7936023894845,993061,3894.956202648834,-30.043023319840145
kappa_eta,0.0299573227355399,0.032953055009093894,3237.357255047701,991196,3894.956202648834,-16.88334639434253
kappa_sigma,0.0299573227355399,0.032953055009093894,4169.43570670175,986635,3894.956202648834,7.047049819616752
kappa_gamma,0.0299573227355399,0.032953055009093894,4220.849908891378,978988,3894.956202648834,8.367069853594607
kappa_phi,0.0299573227355399,0.032953055009093894,3899.4020387952487,990700,3894.956202648834,0.11414341818250502
kappa_capex,0.0299573227355399,0.032953055009093894,4672.700164328106,978113,3894.956202648834,19.96797707636235
financing_cost,0.05,0.05500000000000001,3890.2125096733253,990999,3894.956202648834,-0.12179066281368026
financing_grid,[ 0.  5. 10. 20. 40.],[ 0.   5.5 11.  22.  44. ],4049.2907913721665,992006,3894.956202648834,3.96242167289005
M,1,1.1,4522.540427793803,994344,3894.956202648834,16.11274151730306
